ROW_ID;ID;TITLE;ALT TITLE;RLS DATE;DURATION (MIN);CATEGORIES;NB_EPISODES;DESCRIPTION;IMAGE;KEYWORDS
1;4488;Juuza Engi : Engetsu Sangokuden;ND;En cours;1;;ND;L’histoire se déroule à l’époque Sangokushi où les royaumes combattent en Chine. Nous suivons la vie quotidienne de la jeune Kanu, issue du peuple des chats que l'on surnomme les Juuza (13e signe du Zodiaque). Considérés comme une race inférieure, les Juuza vivent en solitaire, loin des humains. Cependant, tout bascule quand la fin de la dynastie des Han se rapproche et que la guerre touche le peuple des chats…;https://str01-m.dpstream.media/a/4488/juuza_engi_engetsu_sangokuden_-_gaiden_youzhou_genya_4005-1479903084.jpg;Manga Juuza Engi : Engetsu Sangokuden streaming, Manga Juuza Engi : Engetsu Sangokuden dpstream, Manga Juuza Engi : Engetsu Sangokuden HD, Juuza Engi : Engetsu Sangokuden streaming VF
2;4487;Hagane Orchestra;ND;En cours;12;;12;Basé sur le jeu du même nom développé par Hanbit Ubiquitous Entertainment. Le jeu devrait sortir durant la diffusion de la série animée.;https://str01-m.dpstream.media/a/4487/hagane_orchestra_5898-1479902886.jpg;Manga Hagane Orchestra streaming, Manga Hagane Orchestra dpstream, Manga Hagane Orchestra HD, Hagane Orchestra streaming VF
3;4486;Sword Art Online II;ND;En cours;24;;24;"Titre alternatif : SAO II / Sword Art Online : Phantom Bullet

Sword Art Online II est la seconde saison de l’anime Sword Art Online.
Cette seconde saison est centrée sur les volumes 5 et 6 du light novel de Kawahara Reki et adapte donc l’arc « Phantom Bullet ».
L’histoire de cette nouvelle saison prend place un an après les évènements de ALO (ALfheim Online).

Suite à sa victoire fortuite face à Sugou Nobuyuki (le maitre de ALO), Kirito est retourné à sa paisible vie de lycéen.
Il n’aspire désormais qu’à une seule chose : profiter pleinement de sa vie.
Mais une nouvelle fois, le devoir le rappelle à l’ordre…

En effet, suite aux morts de plusieurs joueurs de Gun Gale Online (un jeu de tir massivement multi-joueurs), le Ministère des Affaires intérieures et des Communications japonais a pris la ferme résolution de retrouver l’assassin des victimes.

Afin d’identifier ce meurtrier, il sollicite l’aide de Kirito et l’envoie enquêter dans le monde de Gun Gale Online.

Envoyé malgré lui dans cet univers fantaisiste où se mêle gun fights et action, Kirito n’aura d’autres choix que de débusquer ce mystérieux assassin qui se fait appeler Death Gun et qui visiblement, posséderait la faculté de pouvoir tuer les joueurs dans la réalité.

La saison 2 adapte également les arcs Caliber et Mother's Rosario.";https://str01-m.dpstream.media/a/4486/sword_art_online_ii_3004-1479557255.jpg;Manga  Sword Art Online II streaming, Manga  Sword Art Online II dpstream, Manga  Sword Art Online II HD,  Sword Art Online II streaming VF
4;4485;Sword Art Online;ND;En cours;25;;25;"Cette série raconte les aventures de Kirito qui se retrouve piégé dans un jeu massivement multi-joueurs, Sword Art Online.

En 2022, l’humanité a réussi à créer une réalité virtuelle. Grâce à un casque, les humains peuvent se plonger entièrement dans le monde virtuel en étant comme déconnectés de la réalité, et Sword Art Online est le premier MMORPG a utiliser ce système. Mais voila que le premier jour de jeu, 10 000 personnes se retrouvent piégées dans cette réalité virtuelle par son créateur : Akihiko Kayaba. Le seul moyen d’en sortir est de finir le jeu. Mais ce ne sera pas facile de sortir de ce monde virtuel puisque si un joueur perd la partie, il meurt également dans la vraie vie.

Kirito décide alors de partir à la conquête du jeu en solo, avec pour avantage le fait de faire partie des 1 000 ex-bêta-testeurs, mais arrivera-t-il à terminer les 99 donjons et leurs boss ?";https://str01-m.dpstream.media/a/4485/sword_art_online_2234-1479557165.jpg;Manga Sword Art Online streaming, Manga Sword Art Online dpstream, Manga Sword Art Online HD, Sword Art Online streaming VF
5;4484;Black Butler 2;ND;En cours;12;;12;"Titre alternatif : Black Butler II / Kuroshitsuji 2

Kuroshitsuji II est la deuxième saison de la série Kuroshitsuji.

Deux nouveaux personnages s'ajoute en compagnie de Ciel Phantomhive et Sebastian Michaelis.
Alois Trancy, jeune noble et Claude Faustus, Majordome des Enfers.
On découvre aussi une mystérieuse soubrette du nom d'Hannah accompagné par trois domestiques du nom de Timber, Thompson et Cantebury à la ressemblances plus que flagrante, si ce n'est que leurs coupes de cheveux qui diffèrent quelques peu.

L'histoire se déroulera à la même période que la précédente série, c'est-à-dire au milieu du XIXème siècle en Angleterre mais aura une histoire quelque peu différente de la première saison. Celle-ci opposant les deux nobles (Ciel et Alois) et leurs majordomes (Sebastian et Claude).

Au centre de cette histoire, le lien maudit qui unis le jeune noble au majordome perdurent encore et toujours. Car il se pourrait que ce lien soit semblable à celui qui unit Ciel à Sebastian...";https://str01-m.dpstream.media/a/4484/kuroshitsuji_ii_1768-1479297657.jpg;Manga Black Butler 2 streaming, Manga Black Butler 2 dpstream, Manga Black Butler 2 HD, Black Butler 2 streaming VF
6;4483;Black Butler;ND;En cours;24;;24;"Titre alternatif : Kuro Shitsuji / Kuroshitsuzi

À la deuxième moitié du XIXème siècle, à l'époque Victorienne, à Londres, un jeune maître de douze ans, nommé Ciel Phantomhive, dirige la famille la plus noble et la plus redoutée de toute l'Angleterre.

La raison d'une telle réussite en affaire à un âge aussi jeune ? Son talentueux majordome, Sebastian Michaelis. Ce qui peut être impossible pour un homme normal, ne l'est pas pour ce majordome, et comme il le dit souvent, 'Je ne suis qu'un diable de Majordome'.
Sebastian cache donc un grand secret, couvert par un contrat entre lui et son jeune maître.";https://str01-m.dpstream.media/a/4483/kuroshitsuji_926-1479297540.jpg;Manga Black Butler streaming, Manga Black Butler dpstream, Manga Black Butler HD, Black Butler streaming VF
7;4482;Accel World Infinite ∞ Burst. (Film);ND;En cours;1;;1;"Titre alternatif : Accel World Unlimited ∞ Burst / Accel World : Infinite Burst

Accel World Infinite ∞ Burst n'est pas une suite d'Accel World. Il s'agira d'une histoire originale rédigée par Reki Kawahara pour l'occasion.

On y retrouvera toutefois des personnages de la série originale tels que Haruyuki, Kuroyukihime, Chiyuri et Takumu.";https://str01-m.dpstream.media/a/4482/accel_world_infinite_burst_4858-1479297356.jpg;Manga Accel World Infinite ∞ Burst. (Film) streaming, Manga Accel World Infinite ∞ Burst. (Film) dpstream, Manga Accel World Infinite ∞ Burst. (Film) HD, Accel World Infinite ∞ Burst. (Film) streaming VF
8;4481;Ame-iro Cocoa 3rd Season;ND;En cours;2 min;;ND;Troisième saison de l'anime Ame-iro Cocoa.;https://str01-m.dpstream.media/a/4481/index-1479297228.jpg;Manga  Ame-iro Cocoa 3rd Season streaming, Manga  Ame-iro Cocoa 3rd Season dpstream, Manga  Ame-iro Cocoa 3rd Season HD,  Ame-iro Cocoa 3rd Season streaming VF
9;4480;Haikyuu !!;ND;En cours;25;;25;"Titre alternatif : Haikyuu !! / Haikyû !!

Shôyô Hinata, surnommé Shô, aime plus que tout jouer au volley-ball et ce, malgré sa petite taille. Malheureusement, suite à une sévère défaite, son club de collège a été dissous, tous les membres étant partis.
Mais Shô est bien décidé à jouer de nouveau et choisit son futur lycée en fonction de son ambition. Il intègre donc le lycée Karasuno, où a joué son idole, le Petit Géant, tout en espérant faire aussi bien que lui.";https://str01-m.dpstream.media/a/4480/haikyu_2935-1478697059.jpg;Manga Haikyuu !! streaming, Manga Haikyuu !! dpstream, Manga Haikyuu !! HD, Haikyuu !! streaming VF
10;4479;Aggressive Retsuko;ND;En cours;1 min;;ND;"Courts épisodes sur la mascotte de Sanrio: Retsuko

Retsuko, une femelle panda roux de 25 ans, travaille dans la compagnie de ses rêves, dans le département de comptabilité. Mais son supérieur et ses collègues la surchargent de travail. Pour déstresser, elle se rends au karaoke pour chanter du death metal.";https://str01-m.dpstream.media/a/4479/index-1478696661.jpg;Manga Aggressive Retsuko streaming, Manga Aggressive Retsuko dpstream, Manga Aggressive Retsuko HD, Aggressive Retsuko streaming VF
11;4478;Aria the Origination;ND;En cours;13;;13;"Année 2301.
L'homme a terra formé Mars en une planète vivable, recouverte principalement d'eau et baptisée 'Aqua'. Sur Aqua, a été construit Neo-Venezia, une réplique exacte de l'ancienne Venise, de beaux canaux, des palais, des places, etc... Akari Mizunashi, une jeune fille de 15 ans, venant de Man-Home (anciennement connu sous le nom de Terre), arrive à Neo-Venezia pour devenir une ondines (filles faisant visiter la ville ou servant de taxi sur des gondoles) chez ARIA Company. La société est dirigée par Aria Pokoteng, un chat martien et Alicia Florence, l'une des trois meilleures gondolieres, également connu sous le nom des <<trois Fées de l'eau>> (et aussi la seule ondine de Aria Company). Malgré la dure formation, Akari aspire à devenir elle aussi une de ses Fées de l'eau. Beaucoup de rencontres et d'aventures attendent Akari dans son ascension pour devenir Prima.
Le thème de la troisième saison est, comme son nom l'indique, le début de la série.";https://str01-m.dpstream.media/a/4478/aria_the_origination_625-1478696528.jpg;Manga Aria the Origination streaming, Manga Aria the Origination dpstream, Manga Aria the Origination HD, Aria the Origination streaming VF
12;4477;Idol Memories;ND;En cours;14 min;;ND;Dans un futur proche où les représentations d'idols en réalité virtuelle sont devenue banales, deux groupes d'idols rivaux rivalisent pour le tant désiré 'tiara', qui représente les numéros 1 de l''Idol League'.;https://str01-m.dpstream.media/a/4477/idol_memories_5668-1478460116.jpg;Manga Idol Memories streaming, Manga Idol Memories dpstream, Manga Idol Memories HD, Idol Memories streaming VF
13;4476;Honobono Log;Fukamachi Naka Gashū Honobono Log ~Taisetsu na Kimi e~;En cours;10;;10;"Titre alternatif : Heartwarming Log ~To Precious You / Fukamachi Naka Gashuu Honobono Log ~Taisetsu na Kimi e~/Naka Fukamachi Art Collection: Heartwarming Log ~To Precious You

Adaptation d'un livre d'image de Naka Fukamachi sortit en 2014 au Japon. A savoir qu'un deuxième nommé Honobono Log II ~Taisetsu na Kimi to~ est prévu mi-juillet.

Ce livre narre le quotidien de plusieurs familles.";https://str01-m.dpstream.media/a/4476/index-1478459555.jpg;Manga Honobono Log streaming, Manga Honobono Log dpstream, Manga Honobono Log HD, Honobono Log streaming VF
14;4475;Classicaloid;ND;En cours;24 min;;ND;Kanae et Sousuke sont deux lycéens vivant dans une petite ville qui essaye, tant bien que mal, de sortir du lot. Pour cela, des Classicaloids, des robots humanoïdes qui savent jouer de la musique, à l’effigies de Mozart et Beethoven font leur apparition. Mais contre toute attente, leur 'musik' fait apparaître d'autres robots géants, créant ainsi une grosse pagaille dans la ville ! Mais le problème est loin d'être réglé puisque d'autres Classicaloids feront leur apparition...;https://str01-m.dpstream.media/a/4475/classicaloid_4535-1477758040.jpg;Manga Classicaloid streaming, Manga Classicaloid dpstream, Manga Classicaloid HD, Classicaloid streaming VF
15;4473;RWBY S4;RWBY Volume 4;En cours;20 min;;ND;Saison 4 de RWBY;https://str01-m.dpstream.media/a/4473/images-1477757741.jpg;Manga RWBY S4 streaming, Manga RWBY S4 dpstream, Manga RWBY S4 HD, RWBY S4 streaming VF
16;4472;RWBY S3;RWBY Volume 3;En cours;12;;12;Saison 3 de RWBY;https://str01-m.dpstream.media/a/4472/s3-1477757522.jpg;Manga RWBY S3 streaming, Manga RWBY S3 dpstream, Manga RWBY S3 HD, RWBY S3 streaming VF
17;4471;RWBY S2;RWBY Volume 2;En cours;12;;12;Saison 2 de RWBY;https://str01-m.dpstream.media/a/4471/index-1477757286.jpg;Manga RWBY S2 streaming, Manga RWBY S2 dpstream, Manga RWBY S2 HD, RWBY S2 streaming VF
18;4470;RWBY S1;RWBY Volume 1;En cours;16;;16;L’histoire met en scène un groupe de quatre jeunes filles au sein d’une académie très spéciale. En effet, Ruby Rose, Weiss Schnee, Blake Belladonna et Yang Xiao Long apprennent à chasser des monstres surnommés les créatures de Grimm. Depuis la chute de Beacon, le monde de Remnant n'est pas pour autant apaisé. Des vies ont été perdues, la tension est encore palpable et même les membres de l'équipe RWBY sont divisées quant à l'attitude à adopter. Chacune de nos héroïnes part en voyage. Certaines cherchent à retrouver la paix intérieure, quand d'autres ont besoin de trouver des réponses au cours de leurs aventures. Avec d'autres membres de l'équipe JNPR, Ruby Rose a pris le chemin du royaume de Mistral. Ce périple sera semé d'embûches et de rencontres, amies ou ennemies, tandis qu'approche une menace encore plus grande…;https://str01-m.dpstream.media/a/4470/images-1477757034.jpg;Manga RWBY S1 streaming, Manga RWBY S1 dpstream, Manga RWBY S1 HD, RWBY S1 streaming VF
19;4469;Drifters (OAV);ND;En cours;1;;ND;Il s'agit d'une version éditée non finalisé des deux premiers épisodes de la série TV.;https://str01-m.dpstream.media/a/4469/drifters_oav_5448-1477670163.jpg;Manga Drifters (OAV) streaming, Manga Drifters (OAV) dpstream, Manga Drifters (OAV) HD, Drifters (OAV) streaming VF
20;4468;Evangelion: 3.0 You Can (Not) Redo;ND;En cours;1;;1;14 ans se sont écoulés depuis la fin du second film, Asuka est chargée, en compagnie de Mari, de récupérer le Tesseract dans lequel est scellé l'Eva 01, lorsqu'elle est interceptée par le système d'autodéfense chargé d'empêcher quiconque de récupérer l'Eva 01, et sera sauvée par celle-ci. De retour de l'intérieur de l'Eva, Shinji se rend compte que beaucoup de choses ont changé, il est désormais considéré comme un criminel, retenu prisonnier par ses anciens amis de la Nerv qui forment désormais l'organisation Wille dont le but officieux est de détruire la Nerv et d'empêcher de nouveaux impacts. Ne retrouvant pas Ayanami, Shinji apprend qu'elle a disparu avant d'être secouru par une nouvelle Ayanami et l'Evangelion Mark-09. De retour au QG de la Nerv, il est accueilli par son père qui lui ordonne de piloter l'Eva 13 en compagnie d'un copilote : Kaworu Nagisa. Au cours de son errance, Shinji apprendra le résultat de ses actions, la vérité sur sa mère et sur Ayanami. C'est le moment que choisira Kaworu pour lui présenter son plan pour annuler le troisième impact, mais qui finalement mènera à la catastrophe du quatrième impact.;https://str01-m.dpstream.media/a/4468/index-1477669458.jpg;Manga Evangelion: 3.0 You Can (Not) Redo streaming, Manga Evangelion: 3.0 You Can (Not) Redo dpstream, Manga Evangelion: 3.0 You Can (Not) Redo HD, Evangelion: 3.0 You Can (Not) Redo streaming VF
21;4467;Kubikiri Cycle : Aoiro Savant to Zaregoto Tsukai;ND;En cours;8;;ND;"Titre alternatif : Zaregoto Series

L'histoire se déroule sur l'île de Wet Crow’s Feather, où vit Iria Akagami, héritière d'une puissante famille. La jeune fille a été exilée sur l'île par le dirigeant de la Fondation Akagami, et y vit en compagnie de ses domestiques et de personnalités prestigieuses qui ont répondu à ses invitations. C'est ainsi que Ii et Tomo Kunagisa se sont retrouvés sur l'île.

Mais alors que chacun profite de la vie, un terrible meurtre est commis.";https://str01-m.dpstream.media/a/4467/kubikiri_cycle_aoiro_savant_to_zaregoto_tsukai_5528-1477646050.jpg;Manga Kubikiri Cycle : Aoiro Savant to Zaregoto Tsukai streaming, Manga Kubikiri Cycle : Aoiro Savant to Zaregoto Tsukai dpstream, Manga Kubikiri Cycle : Aoiro Savant to Zaregoto Tsukai HD, Kubikiri Cycle : Aoiro Savant to Zaregoto Tsukai streaming VF
22;4465;Tokyo Ghoul √A;ND;En cours;12;;12;"Titre alternatif : Tokyo Ghoul 2nd Season / Tokyo Ghoul Root A / Tokyo Kushu 2nd Season

Saison 2 de l'anime Tokyo Ghoul.

Kaneki Ken accepte enfin son côté goule et décide d'affronter Yamori alias Jason.
Tandis que les membres de l'Antique se mêlent parmi Aogiri afin de délivrer le jeune homme, Tôka croise à nouveau le chemin de son petit frère, Ayato et décide de le combattre. Gêné par les inspecteurs du CCG, Yoshimura décide de les retarder en participant au combat.
La vérité sur la mystérieuse goule nommée 'la Chouette' va être dévoilée !";https://str01-m.dpstream.media/a/4465/tokyo_ghoul_a_3855-1477305017.jpg;Manga Tokyo Ghoul √A streaming, Manga Tokyo Ghoul √A dpstream, Manga Tokyo Ghoul √A HD, Tokyo Ghoul √A streaming VF
23;4464;Tokyo Ghoul;ND;En cours;12;;12;"Titre alternatif : Tokyo Kushu

L'histoire se déroule dans un Tokyo moderne mais hanté par de mystérieuses 'goules' dévorant les humains. La peur et le chaos règnent sur la ville mais certaines personnes tentent malgré tout d'avoir une vie 'normale'.
C'est notamment le cas de Ken Kaneki, un étudiant de 18 ans. Mais, un jour, il est attaqué par une goule et manque d'y laisser sa peau. Sauvé de justesse, il survit grâce aux organes de la goule, greffés à la place de ceux qu'elle avait détruit en l'attaquant. Le jeune homme est désormais un hybride et va vivre un véritable enfer .";https://str01-m.dpstream.media/a/4464/tokyo_ghoul_3182-1477304909.jpg;Manga Tokyo Ghoul streaming, Manga Tokyo Ghoul dpstream, Manga Tokyo Ghoul HD, Tokyo Ghoul streaming VF
24;4463;Luger Code 1951;ND;En cours;1;;ND;"Adapté de l'histoire nommée Luger Code 1951 de Ryōto Hagi. Cette histoire a gagné le concours Shonen Jump+ x Animax Anime Scenario Award. Une version diffusée sur internet sort le 14 octobre.

L'histoire suit un jeune professeur capable de déchiffrer et de comprendre n'importe quelle langue.

Un jour, on lui demande de déchiffrer le code utilisé pour la communication sans fil nommée : Luger Code (le Code de Luger). Ce code a été développé par une espèce ennemie de l'humanité qu'on nomme lycanthrope, plus connu sous le nom de loup-garou.

Mais, vu qu'il ne comprend pas le code, ce professeur entreprend un voyage pour capturer un loup-garou vivant. Ainsi, il le forcera à l'aider à déchiffrer ce code.";https://str01-m.dpstream.media/a/4463/81651-1477251632.jpg;Manga Luger Code 1951 streaming, Manga Luger Code 1951 dpstream, Manga Luger Code 1951 HD, Luger Code 1951 streaming VF
25;4462;Owari no Seraph;ND;En cours;12;;12;"Titre alternatif : Seraph of the End : Vampire Reign

Owari no Seraph est adapté du manga du même nom.

Un jour, un mystérieux virus décime chaque humain de plus de 13 ans. Au même moment, les vampires ont émergés et asservis les enfants, seuls survivants de l’épidémie.
L’histoire nous entraîne au côté de Yûichirô Hyakuya, un esclave chargé de donner son sang à des aristocrates.
Ayant perdu son frère lors de son évasion, Yûichirô se promet de tuer tous les vampires, et pour cela, il rejoint la résistance pour délivrer les esclaves.";https://str01-m.dpstream.media/a/4462/owari_no_seraph_3688-1477226060.jpg;Manga Owari no Seraph streaming, Manga Owari no Seraph dpstream, Manga Owari no Seraph HD, Owari no Seraph streaming VF
26;4461;Show By Rock Short;ND;En cours;12;;12;"Titre alternatif : SB69A Short

Courts épisodes qui présenteront chaque semaine un groupe de musique différent ainsi que ses membres.";https://str01-m.dpstream.media/a/4461/show_by_rock_short_5235-1477225631.jpg;Manga Show By Rock Short streaming, Manga Show By Rock Short dpstream, Manga Show By Rock Short HD, Show By Rock Short streaming VF
27;4460;Show By Rock!! 2;ND;En cours;24 min;;ND;"Il s'agit de la seconde saison de Show by Rock!!

Saison 1 : http://www.dpstream.net/anime-4186-show-by-rock.html";https://str01-m.dpstream.media/a/4460/show_by_rock_5230-1477225521.jpg;Manga Show By Rock!! 2 streaming, Manga Show By Rock!! 2 dpstream, Manga Show By Rock!! 2 HD, Show By Rock!! 2 streaming VF
28;4459;Time Travel Shoujo : Mari Waka to 8-nin no Kagakusha-tachi;Time Travel Shōjo ~Mari Waka to 8-nin no Kagakusha-tachi;En cours;12;;12;"Titre alternatif : Time Travel Girl: Mari, Waka, and the 8 Scientists / MariWaka / Time Travel Girl TV

L'histoire nous entraine aux côtés de Mari Hayase, Waka Mizuki et de leurs amis. Il narre leur rencontre avec 8 célèbres scientifiques du passé.";https://str01-m.dpstream.media/a/4459/time_travel_shoujo_mari_waka_to_8-nin_no_kagakusha-tachi_5568-1477224774.jpg;Manga Time Travel Shoujo : Mari Waka to 8-nin no Kagakusha-tachi streaming, Manga Time Travel Shoujo : Mari Waka to 8-nin no Kagakusha-tachi dpstream, Manga Time Travel Shoujo : Mari Waka to 8-nin no Kagakusha-tachi HD, Time Travel Shoujo : Mari Waka to 8-nin no Kagakusha-tachi streaming VF
29;4458;Anitore! EX;ND;En cours;12;;12;"Titre alternatif : Anime de Training! EX / Training Through Anime! EX/Ani Tore! EX

Il s'agit d'un projet original créé par le studio Rising Force.

Nous suivons l'histoire de cinq filles qui désirent devenir des idols, cependant rien n'arrive sans travail dans ce monde, et le travail d'idol passe par un entrainement des plus compliqués, comme la danse, le yoga, le Tai Chi.

Saison 2 : http://www.dpstream.net/anime-4418-anitore-xx.html";https://str01-m.dpstream.media/a/4458/index-1477224603.jpg;Manga Anitore! EX streaming, Manga Anitore! EX dpstream, Manga Anitore! EX HD, Anitore! EX streaming VF
30;4457;Zutto Mae Kara Suki Deshita. (Film);Zutto Mae Kara Suki Deshita. ~Kokuhaku Jikkō Iinkai~;En cours;1;;1;"Titre alternatif : I want to let you know that I love you. / Confession Executive Committee ~Love Series~ / Kokuhaku Jikkou Iinkai : Renai Series/I've Always Liked You

Il s'agit de l'adaptation du projet Vocaloid crée par HoneyWorks. Composé et crée par HoneyWorks en 2012, il s'agit d'une musique qui mélange parties musicales, illustrations, paroles et de quelques moments animés.

Dans cette histoire nous suivons un groupe de lycéens dans le quotidien. Autant dans leurs peines que dans leurs meilleurs moments.";https://str01-m.dpstream.media/a/4457/kokuhaku_jikkou_iinkai_renai_series_4567-1477147096.jpg;Manga Zutto Mae Kara Suki Deshita. (Film) streaming, Manga Zutto Mae Kara Suki Deshita. (Film) dpstream, Manga Zutto Mae Kara Suki Deshita. (Film) HD, Zutto Mae Kara Suki Deshita. (Film) streaming VF
31;4456;Stella no Mahou;Stella no Mahō;En cours;23 min;;ND;"Titre alternatif : Magic of Stella

On suit Tamaki Honda, une jeune lycéenne de première année qui décide de s'inscrire dans un club extra-scolaire un peu particulier : le club de 'doujin games'. Comme son nom l'indique, les membres du club créent leurs propres jeux vidéo !";https://str01-m.dpstream.media/a/4456/stella_no_mahou_5199-1477058182.jpg;Manga Stella no Mahou streaming, Manga Stella no Mahou dpstream, Manga Stella no Mahou HD, Stella no Mahou streaming VF
